breadth,minDrop,spy,exit,stop,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
75,2.5,any,upclose,2,988,58.2,0.40,1.52,647,51.9,0.38,1.44,1635,55.7,0.39,1.49
75,2.5,any,upclose,3,988,58.2,0.41,1.55,647,51.9,0.39,1.47,1635,55.7,0.40,1.51
75,2.5,any,upclose,0,988,58.2,0.41,1.55,647,51.9,0.39,1.47,1635,55.7,0.40,1.52
75,2.5,any,pct1,2,988,73.2,0.66,1.63,647,71.3,0.97,2.08,1635,72.4,0.78,1.79
75,2.5,any,pct1,3,988,73.3,0.71,1.72,647,71.4,1.01,2.19,1635,72.5,0.83,1.89
75,2.5,any,pct1,0,988,73.3,0.71,1.72,647,71.4,1.01,2.19,1635,72.5,0.83,1.89
75,2.5,below,sma5,2,671,76.6,1.47,2.65,265,62.6,1.46,2.28,936,72.6,1.46,2.53
75,2.5,below,sma5,3,671,76.6,1.49,2.73,265,62.6,1.49,2.34,936,72.6,1.49,2.60
75,2.5,below,sma5,0,671,76.6,1.49,2.72,265,62.6,1.49,2.34,936,72.6,1.49,2.59
75,2.5,below,upclose,2,671,67.1,0.88,2.57,265,61.9,1.27,2.88,936,65.6,0.99,2.67
75,2.5,below,upclose,3,671,67.1,0.89,2.62,265,61.9,1.28,2.93,936,65.6,1.00,2.72
75,2.5,below,upclose,0,671,67.1,0.89,2.63,265,61.9,1.28,2.93,936,65.6,1.00,2.73
75,2.5,below,pct1,2,671,82.1,1.23,2.75,265,74.7,1.43,2.64,936,80.0,1.29,2.71
75,2.5,below,pct1,3,671,82.1,1.26,2.85,265,74.7,1.47,2.77,936,80.0,1.32,2.83
75,2.5,below,pct1,0,671,82.1,1.25,2.84,265,74.7,1.47,2.77,936,80.0,1.31,2.82
