minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
3,252d,long,t1030,pm,0940,false,19,57.9,-0.39,0.74,5,60.0,1.46,2.70,24,58.3,-0.00,1.00
3,252d,long,t1030,pm,0940,true,14,50.0,-0.81,0.54,3,66.7,3.81,136.31,17,52.9,0.00,1.00
3,252d,long,t1030,pm,1130,false,28,42.9,0.02,1.02,6,66.7,1.28,2.78,34,47.1,0.24,1.21
3,252d,long,t1030,pm,1130,true,23,34.8,-0.15,0.89,4,75.0,2.94,140.43,27,40.7,0.31,1.27
3,252d,long,t1200,0930,0940,false,19,57.9,-0.32,0.81,5,80.0,2.55,7.67,24,62.5,0.28,1.20
3,252d,long,t1200,0930,0940,true,14,50.0,-0.82,0.54,3,100.0,4.80,99.00,17,58.8,0.17,1.12
3,252d,long,t1200,0930,1130,false,28,46.4,-0.44,0.72,6,83.3,2.21,7.93,34,52.9,0.03,1.02
3,252d,long,t1200,0930,1130,true,23,39.1,-0.76,0.53,4,100.0,3.73,99.00,27,48.1,-0.10,0.93
3,252d,long,t1200,pm,0940,false,19,57.9,-0.68,0.66,5,80.0,2.21,4.04,24,62.5,-0.07,0.96
3,252d,long,t1200,pm,0940,true,14,50.0,-1.50,0.39,3,100.0,4.80,99.00,17,58.8,-0.39,0.81
3,252d,long,t1200,pm,1130,false,28,46.4,-0.70,0.61,6,83.3,1.92,4.18,34,52.9,-0.24,0.85
3,252d,long,t1200,pm,1130,true,23,39.1,-1.21,0.41,4,100.0,3.73,99.00,27,48.1,-0.48,0.73
3,252d,both,atr,0930,0940,false,23,60.9,0.08,1.05,9,66.7,1.87,4.51,32,62.5,0.59,1.42
3,252d,both,atr,0930,0940,true,15,53.3,-0.26,0.86,6,66.7,1.98,5.11,21,57.1,0.38,1.26
3,252d,both,atr,0930,1130,false,34,58.8,0.13,1.09,12,66.7,1.99,4.47,46,60.9,0.62,1.49
3,252d,both,atr,0930,1130,true,24,54.2,-0.08,0.95,8,62.5,1.50,3.42,32,56.3,0.31,1.24
3,252d,both,atr,pm,0940,false,23,60.9,-0.15,0.92,9,66.7,1.85,4.52,32,62.5,0.41,1.26
3,252d,both,atr,pm,0940,true,15,53.3,-0.64,0.71,6,66.7,1.71,3.47,21,57.1,0.03,1.02
3,252d,both,atr,pm,1130,false,34,58.8,0.01,1.00,12,66.7,1.99,4.68,46,60.9,0.53,1.39
3,252d,both,atr,pm,1130,true,24,54.2,-0.28,0.84,8,62.5,1.34,2.80,32,56.3,0.13,1.09
3,252d,both,pct1,0930,0940,false,23,78.3,-0.47,0.60,9,88.9,0.55,3.60,32,81.3,-0.18,0.80
3,252d,both,pct1,0930,0940,true,15,80.0,-0.24,0.75,6,100.0,0.90,99.00,21,85.7,0.09,1.13
3,252d,both,pct1,0930,1130,false,34,73.5,-0.37,0.64,12,83.3,0.39,2.18,46,76.1,-0.17,0.79
3,252d,both,pct1,0930,1130,true,24,75.0,-0.24,0.74,8,87.5,0.53,3.04,32,78.1,-0.05,0.94
3,252d,both,pct1,pm,0940,false,23,82.6,-0.37,0.66,9,100.0,0.87,99.00,32,87.5,-0.02,0.97
3,252d,both,pct1,pm,0940,true,15,86.7,-0.10,0.88,6,100.0,0.90,99.00,21,90.5,0.18,1.29
3,252d,both,pct1,pm,1130,false,34,76.5,-0.28,0.71,12,91.7,0.65,5.39,46,80.4,-0.04,0.95
3,252d,both,pct1,pm,1130,true,24,79.2,-0.12,0.86,8,87.5,0.57,3.54,32,81.3,0.05,1.08
3,252d,both,pct2,0930,0940,false,23,65.2,-0.58,0.66,9,77.8,1.06,4.89,32,68.8,-0.12,0.91
3,252d,both,pct2,0930,0940,true,15,60.0,-0.80,0.55,6,83.3,1.49,17.59,21,66.7,-0.15,0.89
3,252d,both,pct2,0930,1130,false,34,61.8,-0.40,0.73,12,75.0,0.94,3.49,46,65.2,-0.05,0.96
3,252d,both,pct2,0930,1130,true,24,58.3,-0.57,0.63,8,75.0,1.10,4.36,32,62.5,-0.15,0.87
3,252d,both,pct2,pm,0940,false,23,69.6,-0.51,0.70,9,77.8,1.21,10.93,32,71.9,-0.03,0.98
3,252d,both,pct2,pm,0940,true,15,66.7,-0.72,0.60,6,83.3,1.49,17.59,21,71.4,-0.09,0.93
3,252d,both,pct2,pm,1130,false,34,64.7,-0.33,0.77,12,75.0,1.08,5.49,46,67.4,0.04,1.03
3,252d,both,pct2,pm,1130,true,24,62.5,-0.48,0.68,8,75.0,1.13,4.92,32,65.6,-0.07,0.94
3,252d,both,t1030,0930,0940,false,23,60.9,-0.25,0.83,9,66.7,2.40,9.91,32,62.5,0.50,1.45
3,252d,both,t1030,0930,0940,true,15,53.3,-0.63,0.61,6,66.7,2.88,34.85,21,57.1,0.37,1.31
3,252d,both,t1030,0930,1130,false,34,47.1,0.04,1.03,12,66.7,1.91,8.22,46,52.2,0.53,1.55
3,252d,both,t1030,0930,1130,true,24,37.5,-0.06,0.95,8,62.5,2.11,14.43,32,43.8,0.48,1.48
3,252d,both,t1030,pm,0940,false,23,60.9,-0.27,0.82,9,66.7,2.14,5.08,32,62.5,0.41,1.34
3,252d,both,t1030,pm,0940,true,15,53.3,-0.67,0.60,6,66.7,2.88,34.85,21,57.1,0.34,1.29
3,252d,both,t1030,pm,1130,false,34,47.1,0.02,1.02,12,66.7,1.72,4.76,46,52.2,0.47,1.45
3,252d,both,t1030,pm,1130,true,24,37.5,-0.08,0.94,8,62.5,2.11,14.43,32,43.8,0.46,1.46
3,252d,both,t1200,0930,0940,false,23,56.5,-0.26,0.85,9,66.7,1.99,4.41,32,59.4,0.37,1.27
3,252d,both,t1200,0930,0940,true,15,46.7,-0.91,0.50,6,66.7,1.89,4.41,21,52.4,-0.11,0.93
3,252d,both,t1200,0930,1130,false,34,47.1,-0.39,0.75,12,66.7,1.81,3.98,46,52.2,0.19,1.14
3,252d,both,t1200,0930,1130,true,24,37.5,-0.82,0.50,8,62.5,1.22,2.81,32,43.8,-0.31,0.78
3,252d,both,t1200,pm,0940,false,23,56.5,-0.55,0.72,9,66.7,1.80,3.32,32,59.4,0.11,1.07
3,252d,both,t1200,pm,0940,true,15,46.7,-1.54,0.37,6,66.7,1.89,4.41,21,52.4,-0.56,0.71
3,252d,both,t1200,pm,1130,false,34,47.1,-0.61,0.65,12,66.7,1.69,3.29,46,52.2,-0.01,1.00
3,252d,both,t1200,pm,1130,true,24,37.5,-1.25,0.39,8,62.5,1.25,2.92,32,43.8,-0.63,0.63
5,20d,long,atr,0930,0940,false,75,58.7,0.51,1.42,9,33.3,-0.34,0.85,84,56.0,0.42,1.31
5,20d,long,atr,0930,0940,true,63,57.1,0.44,1.33,8,37.5,-0.25,0.89,71,54.9,0.36,1.25
5,20d,long,atr,0930,1130,false,114,58.8,0.43,1.38,15,33.3,-0.72,0.65,129,55.8,0.29,1.24
5,20d,long,atr,0930,1130,true,100,59.0,0.49,1.46,12,33.3,-0.86,0.65,112,56.3,0.34,1.28
5,20d,long,atr,pm,0940,false,75,64.0,0.59,1.50,9,44.4,0.28,1.15,84,61.9,0.56,1.45
5,20d,long,atr,pm,0940,true,63,61.9,0.51,1.40,8,50.0,0.45,1.24,71,60.6,0.50,1.37
5,20d,long,atr,pm,1130,false,114,62.3,0.54,1.52,15,40.0,-0.45,0.76,129,59.7,0.43,1.38
5,20d,long,atr,pm,1130,true,100,62.0,0.56,1.54,12,41.7,-0.52,0.77,112,59.8,0.44,1.38
5,20d,long,pct1,0930,0940,false,75,76.0,-0.11,0.86,9,44.4,-1.35,0.23,84,72.6,-0.25,0.72
5,20d,long,pct1,0930,0940,true,63,74.6,-0.17,0.80,8,50.0,-1.39,0.24,71,71.8,-0.31,0.68
5,20d,long,pct1,0930,1130,false,114,76.3,-0.03,0.96,15,53.3,-1.00,0.32,129,73.6,-0.14,0.82
5,20d,long,pct1,0930,1130,true,100,76.0,-0.01,0.99,12,58.3,-1.21,0.30,112,74.1,-0.13,0.83
5,20d,long,pct1,pm,0940,false,75,82.7,0.08,1.12,9,55.6,-0.95,0.34,84,79.8,-0.03,0.96
5,20d,long,pct1,pm,0940,true,63,81.0,0.04,1.05,8,62.5,-0.94,0.37,71,78.9,-0.07,0.91
5,20d,long,pct1,pm,1130,false,114,80.7,0.16,1.28,15,60.0,-0.70,0.43,129,78.3,0.06,1.09
5,20d,long,pct1,pm,1130,true,100,80.0,0.15,1.26,12,66.7,-0.84,0.42,112,78.6,0.04,1.06
5,20d,long,pct2,0930,0940,false,75,66.7,0.15,1.14,9,33.3,-1.61,0.28,84,63.1,-0.03,0.97
5,20d,long,pct2,0930,0940,true,63,63.5,-0.01,0.99,8,37.5,-1.67,0.30,71,60.6,-0.20,0.85
5,20d,long,pct2,0930,1130,false,114,66.7,0.20,1.21,15,40.0,-1.21,0.39,129,63.6,0.04,1.04
5,20d,long,pct2,0930,1130,true,100,66.0,0.22,1.24,12,41.7,-1.55,0.34,112,63.4,0.03,1.03
5,20d,long,pct2,pm,0940,false,75,73.3,0.35,1.38,9,44.4,-0.96,0.47,84,70.2,0.21,1.21
5,20d,long,pct2,pm,0940,true,63,69.8,0.21,1.20,8,50.0,-0.94,0.50,71,67.6,0.08,1.07
5,20d,long,pct2,pm,1130,false,114,71.1,0.39,1.48,15,46.7,-0.92,0.49,129,68.2,0.24,1.26
5,20d,long,pct2,pm,1130,true,100,70.0,0.38,1.47,12,50.0,-1.20,0.44,112,67.9,0.21,1.22
5,20d,long,t1030,0930,0940,false,75,56.0,0.21,1.22,9,33.3,-0.49,0.77,84,53.6,0.13,1.12
5,20d,long,t1030,0930,0940,true,63,54.0,0.12,1.12,8,37.5,-0.42,0.82,71,52.1,0.06,1.05
5,20d,long,t1030,0930,1130,false,114,53.5,0.22,1.27,15,40.0,-0.69,0.60,129,51.9,0.12,1.13
5,20d,long,t1030,0930,1130,true,100,53.0,0.25,1.31,12,41.7,-0.65,0.67,112,51.8,0.15,1.16
5,20d,long,t1030,pm,0940,false,75,57.3,0.23,1.25,9,33.3,-0.31,0.84,84,54.8,0.17,1.17
5,20d,long,t1030,pm,0940,true,63,55.6,0.15,1.15,8,37.5,-0.21,0.90,71,53.5,0.11,1.10
5,20d,long,t1030,pm,1130,false,114,54.4,0.25,1.31,15,40.0,-0.59,0.64,129,52.7,0.15,1.17
5,20d,long,t1030,pm,1130,true,100,54.0,0.28,1.35,12,41.7,-0.51,0.72,112,52.7,0.19,1.22
5,20d,long,t1200,0930,0940,false,75,57.3,0.45,1.40,9,33.3,0.01,1.01,84,54.8,0.40,1.33
5,20d,long,t1200,0930,0940,true,63,55.6,0.39,1.32,8,37.5,0.15,1.07,71,53.5,0.36,1.27
5,20d,long,t1200,0930,1130,false,114,51.8,0.20,1.18,15,40.0,-0.14,0.92,129,50.4,0.16,1.14
5,20d,long,t1200,0930,1130,true,100,51.0,0.22,1.21,12,41.7,-0.20,0.90,112,50.0,0.18,1.15
5,20d,long,t1200,pm,0940,false,75,58.7,0.43,1.36,9,44.4,0.42,1.23,84,57.1,0.42,1.34
5,20d,long,t1200,pm,0940,true,63,57.1,0.32,1.24,8,50.0,0.62,1.33,71,56.3,0.35,1.25
5,20d,long,t1200,pm,1130,false,114,52.6,0.22,1.20,15,46.7,0.11,1.07,129,51.9,0.21,1.18
5,20d,long,t1200,pm,1130,true,100,52.0,0.19,1.17,12,50.0,0.12,1.07,112,51.8,0.18,1.15
5,20d,both,atr,0930,0940,false,125,56.0,0.64,1.53,29,34.5,0.13,1.08,154,51.9,0.54,1.42
5,20d,both,atr,0930,0940,true,92,56.5,0.53,1.43,22,31.8,-0.17,0.91,114,51.8,0.40,1.29
5,20d,both,atr,0930,1130,false,176,55.1,0.43,1.36,42,38.1,-0.02,0.99,218,51.8,0.35,1.27
5,20d,both,atr,0930,1130,true,134,57.5,0.45,1.40,31,32.3,-0.52,0.73,165,52.7,0.27,1.21
5,20d,both,atr,pm,0940,false,125,59.2,0.74,1.65,29,44.8,0.59,1.39,154,56.5,0.71,1.59
5,20d,both,atr,pm,0940,true,92,59.8,0.63,1.55,22,45.5,0.55,1.38,114,57.0,0.62,1.51
5,20d,both,atr,pm,1130,false,176,57.4,0.50,1.44,42,45.2,0.31,1.21,218,55.0,0.47,1.39
5,20d,both,atr,pm,1130,true,134,59.7,0.55,1.52,31,41.9,0.01,1.01,165,56.4,0.45,1.39
5,20d,both,pct1,0930,0940,false,125,83.2,0.15,1.25,29,51.7,-0.75,0.38,154,77.3,-0.02,0.97
5,20d,both,pct1,0930,0940,true,92,82.6,0.17,1.30,22,50.0,-0.90,0.33,114,76.3,-0.04,0.95
5,20d,both,pct1,0930,1130,false,176,80.7,0.13,1.22,42,57.1,-0.55,0.48,218,76.1,-0.00,1.00
5,20d,both,pct1,0930,1130,true,134,82.1,0.22,1.44,31,54.8,-0.76,0.39,165,77.0,0.04,1.06
5,20d,both,pct1,pm,0940,false,125,87.2,0.28,1.57,29,65.5,-0.30,0.65,154,83.1,0.17,1.31
5,20d,both,pct1,pm,0940,true,92,87.0,0.31,1.66,22,63.6,-0.42,0.56,114,82.5,0.17,1.30
5,20d,both,pct1,pm,1130,false,176,83.5,0.22,1.41,42,66.7,-0.17,0.78,218,80.3,0.14,1.25
5,20d,both,pct1,pm,1130,true,134,85.1,0.34,1.81,31,64.5,-0.32,0.64,165,81.2,0.22,1.43
5,20d,both,pct2,0930,0940,false,125,72.0,0.49,1.57,29,41.4,-0.69,0.53,154,66.2,0.27,1.28
5,20d,both,pct2,0930,0940,true,92,71.7,0.47,1.56,22,40.9,-0.80,0.49,114,65.8,0.23,1.23
5,20d,both,pct2,0930,1130,false,176,69.3,0.36,1.41,42,47.6,-0.45,0.66,218,65.1,0.21,1.21
5,20d,both,pct2,0930,1130,true,134,70.9,0.44,1.55,31,45.2,-0.65,0.57,165,66.1,0.24,1.25
5,20d,both,pct2,pm,0940,false,125,76.0,0.63,1.84,29,51.7,-0.31,0.75,154,71.4,0.45,1.54
5,20d,both,pct2,pm,0940,true,92,76.1,0.63,1.84,22,54.5,-0.17,0.85,114,71.9,0.47,1.58
