minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
3,20d,both,pct2,pm,0940,false,614,50.3,-0.41,0.66,478,55.4,-0.46,0.68,1092,52.6,-0.43,0.67
3,20d,both,pct2,pm,0940,true,0,0.0,0.00,0.00,240,62.9,0.27,1.34,240,62.9,0.27,1.34
3,20d,both,pct2,pm,1130,false,894,51.2,-0.33,0.71,680,55.4,-0.29,0.76,1574,53.0,-0.31,0.74
3,20d,both,pct2,pm,1130,true,0,0.0,0.00,0.00,335,60.3,0.22,1.28,335,60.3,0.22,1.28
3,20d,both,t1030,0930,0940,false,614,38.8,-0.33,0.71,478,44.4,-0.15,0.88,1092,41.2,-0.25,0.79
3,20d,both,t1030,0930,0940,true,0,0.0,0.00,0.00,240,55.0,0.62,1.79,240,55.0,0.62,1.79
3,20d,both,t1030,0930,1130,false,894,39.0,-0.28,0.71,680,43.7,-0.12,0.89,1574,41.0,-0.21,0.79
3,20d,both,t1030,0930,1130,true,0,0.0,0.00,0.00,335,52.8,0.49,1.70,335,52.8,0.49,1.70
3,20d,both,t1030,pm,0940,false,614,40.4,-0.36,0.69,478,45.4,-0.18,0.86,1092,42.6,-0.29,0.77
3,20d,both,t1030,pm,0940,true,0,0.0,0.00,0.00,240,55.4,0.61,1.77,240,55.4,0.61,1.77
3,20d,both,t1030,pm,1130,false,894,40.2,-0.30,0.70,680,44.4,-0.14,0.87,1574,42.0,-0.24,0.77
3,20d,both,t1030,pm,1130,true,0,0.0,0.00,0.00,335,53.1,0.49,1.69,335,53.1,0.49,1.69
3,20d,both,t1200,0930,0940,false,614,37.9,-0.33,0.74,478,38.1,-0.52,0.65,1092,38.0,-0.41,0.70
3,20d,both,t1200,0930,0940,true,0,0.0,0.00,0.00,240,42.1,-0.11,0.90,240,42.1,-0.11,0.90
3,20d,both,t1200,0930,1130,false,894,39.3,-0.28,0.76,680,39.3,-0.38,0.70,1574,39.3,-0.32,0.73
3,20d,both,t1200,0930,1130,true,0,0.0,0.00,0.00,335,42.1,-0.11,0.89,335,42.1,-0.11,0.89
3,20d,both,t1200,pm,0940,false,614,40.7,-0.37,0.72,478,40.4,-0.75,0.57,1092,40.6,-0.53,0.65
3,20d,both,t1200,pm,0940,true,0,0.0,0.00,0.00,240,43.8,-0.10,0.91,240,43.8,-0.10,0.91
3,20d,both,t1200,pm,1130,false,894,41.1,-0.28,0.76,680,40.7,-0.54,0.63,1574,40.9,-0.39,0.70
3,20d,both,t1200,pm,1130,true,0,0.0,0.00,0.00,335,43.3,-0.09,0.92,335,43.3,-0.09,0.92
3,252d,long,atr,0930,0940,false,166,44.0,-0.23,0.85,58,43.1,-0.15,0.90,224,43.8,-0.21,0.86
3,252d,long,atr,0930,0940,true,0,0.0,0.00,0.00,24,58.3,0.42,1.32,24,58.3,0.42,1.32
3,252d,long,atr,0930,1130,false,241,42.3,-0.28,0.81,78,47.4,0.04,1.03,319,43.6,-0.20,0.86
3,252d,long,atr,0930,1130,true,0,0.0,0.00,0.00,36,61.1,0.60,1.55,36,61.1,0.60,1.55
3,252d,long,atr,pm,0940,false,166,50.6,-0.07,0.95,58,44.8,-0.23,0.86,224,49.1,-0.11,0.93
3,252d,long,atr,pm,0940,true,0,0.0,0.00,0.00,24,58.3,0.38,1.29,24,58.3,0.38,1.29
3,252d,long,atr,pm,1130,false,241,46.9,-0.18,0.88,78,47.4,-0.04,0.97,319,47.0,-0.14,0.90
3,252d,long,atr,pm,1130,true,0,0.0,0.00,0.00,36,61.1,0.58,1.52,36,61.1,0.58,1.52
3,252d,long,pct1,0930,0940,false,166,63.3,-0.39,0.59,58,67.2,-0.36,0.62,224,64.3,-0.38,0.60
3,252d,long,pct1,0930,0940,true,0,0.0,0.00,0.00,24,87.5,0.31,1.67,24,87.5,0.31,1.67
3,252d,long,pct1,0930,1130,false,241,64.7,-0.28,0.68,78,66.7,-0.28,0.68,319,65.2,-0.28,0.68
3,252d,long,pct1,0930,1130,true,0,0.0,0.00,0.00,36,80.6,0.19,1.35,36,80.6,0.19,1.35
3,252d,long,pct1,pm,0940,false,166,71.1,-0.26,0.71,58,74.1,-0.16,0.80,224,71.9,-0.23,0.73
3,252d,long,pct1,pm,0940,true,0,0.0,0.00,0.00,24,91.7,0.67,5.51,24,91.7,0.67,5.51
3,252d,long,pct1,pm,1130,false,241,70.1,-0.18,0.78,78,71.8,-0.13,0.83,319,70.5,-0.16,0.79
3,252d,long,pct1,pm,1130,true,0,0.0,0.00,0.00,36,83.3,0.42,2.33,36,83.3,0.42,2.33
3,252d,long,pct2,0930,0940,false,166,54.2,-0.25,0.78,58,48.3,-0.64,0.56,224,52.7,-0.35,0.72
3,252d,long,pct2,0930,0940,true,0,0.0,0.00,0.00,24,66.7,-0.05,0.96,24,66.7,-0.05,0.96
3,252d,long,pct2,0930,1130,false,241,53.5,-0.24,0.79,78,52.6,-0.33,0.73,319,53.3,-0.26,0.78
3,252d,long,pct2,0930,1130,true,0,0.0,0.00,0.00,36,66.7,0.14,1.14,36,66.7,0.14,1.14
3,252d,long,pct2,pm,0940,false,166,61.4,-0.08,0.93,58,51.7,-0.61,0.58,224,58.9,-0.22,0.82
3,252d,long,pct2,pm,0940,true,0,0.0,0.00,0.00,24,70.8,0.21,1.22,24,70.8,0.21,1.22
3,252d,long,pct2,pm,1130,false,241,58.5,-0.12,0.89,78,53.8,-0.34,0.73,319,57.4,-0.17,0.85
3,252d,long,pct2,pm,1130,true,0,0.0,0.00,0.00,36,69.4,0.31,1.36,36,69.4,0.31,1.36
3,252d,long,t1030,0930,0940,false,166,36.7,-0.58,0.63,58,46.6,-0.08,0.93,224,39.3,-0.45,0.69
3,252d,long,t1030,0930,0940,true,0,0.0,0.00,0.00,24,58.3,0.63,1.70,24,58.3,0.63,1.70
3,252d,long,t1030,0930,1130,false,241,38.6,-0.49,0.62,78,44.9,0.11,1.11,319,40.1,-0.34,0.72
3,252d,long,t1030,0930,1130,true,0,0.0,0.00,0.00,36,50.0,0.74,1.99,36,50.0,0.74,1.99
3,252d,long,t1030,pm,0940,false,166,38.6,-0.61,0.61,58,46.6,-0.14,0.88,224,40.6,-0.49,0.67
3,252d,long,t1030,pm,0940,true,0,0.0,0.00,0.00,24,58.3,0.63,1.71,24,58.3,0.63,1.71
3,252d,long,t1030,pm,1130,false,241,39.8,-0.52,0.61,78,44.9,0.06,1.06,319,41.1,-0.38,0.69
3,252d,long,t1030,pm,1130,true,0,0.0,0.00,0.00,36,50.0,0.74,2.00,36,50.0,0.74,2.00
3,252d,long,t1200,0930,0940,false,166,39.8,-0.38,0.75,58,41.4,-0.33,0.77,224,40.2,-0.37,0.76
3,252d,long,t1200,0930,0940,true,0,0.0,0.00,0.00,24,58.3,0.48,1.44,24,58.3,0.48,1.44
3,252d,long,t1200,0930,1130,false,241,41.1,-0.37,0.74,78,43.6,-0.22,0.83,319,41.7,-0.33,0.76
